,age,cups,where_drink,brew,favorite,additions,dairy,style,strength,roast_level,caffeine,expertise,coffee_a_bitterness,coffee_a_acidity,coffee_a_personal_preference,coffee_a_notes,coffee_b_bitterness,coffee_b_acidity,coffee_b_personal_preference,coffee_b_notes,coffee_c_bitterness,coffee_c_acidity,coffee_c_personal_preference,coffee_c_notes,coffee_d_bitterness,coffee_d_acidity,coffee_d_personal_preference,coffee_d_notes,prefer_abc,prefer_ad,prefer_overall,total_spend,why_drink,taste,know_source,most_paid,most_willing_to_pay,value_cafe,gender,ethnicity_race
764,55 a 64,More than 4,['At home'],['Coffee brewing machine (e.g. Mr. Coffee)'],Regular drip coffee,"['Milk', ' dairy alternative', ' or coffee creamer']",['Skim milk'],Full Bodied,Somewhat strong,Dark,Full caffeine,2.0,1.0,2.0,3.0,,1.0,3.0,3.0,,1.0,2.0,4.0,,3.0,4.0,1.0,,Coffee A,Coffee A,Coffee A,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,10 a 15,10 a 15,Yes,Male,Hispanic/Latino
765,25 a 34,2,"['At home', ' At the office', ' At a cafe']","['Pour over', ' Coffee brewing machine (e.g. Mr. Coffee)', ' French press']",Pourover,['No - just black'],,Floral,Somewhat strong,Light,Half caff,7.0,2.0,3.0,5.0,,3.0,1.0,2.0,,3.0,2.0,3.0,,1.0,4.0,5.0,,Coffee A,Coffee D,Coffee D,20 a 40,['It tastes good'],Yes,Yes,6 a 8,8 a 10,No,Male,White/Caucasian
766,45 a 54,2,['At home'],"['Pod/capsule machine (e.g. Keurig/Nespresso)', ' Cold brew', ' Pour over', ' Other']",Other,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']",['Half and half'],Nutty,Medium,Blonde,Full caffeine,6.0,1.0,3.0,3.0,Tart apple and a bit sour,3.0,1.0,2.0,"A bit nutty, but not particularly one flavor inspiration or another.",3.0,1.0,1.0,"A bit of roasted malt, a bit sharp.",2.0,3.0,5.0,"Balanced, Black Cherry and dark chocolate.  Complex.",Coffee A,Coffee D,Coffee D,80 a 100,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,15 a 20,More than 20,No,Male,White/Caucasian
767,35 a 44,2,"['At the office', ' At home']","['Pour over', ' Espresso', ' Coffee extract (e.g. Cometeer)', ' Coffee brewing machine (e.g. Mr. Coffee)', ' Cold brew']",Pourover,['No - just black'],,Sweet,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,4.0,,3.0,3.0,4.0,,5.0,2.0,1.0,,1.0,5.0,4.0,,Coffee A,Coffee D,Coffee D,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,6 a 8,10 a 15,No,Male,Black/African American
768,25 a 34,1,"['At home', ' At a cafe']","['Pour over', ' Cold brew']",Pourover,['No - just black'],,Full Bodied,Somewhat strong,Medium,Full caffeine,4.0,2.0,4.0,2.0,"Warm, funky, bright, orange peel, honey",4.0,3.0,3.0,Silky,3.0,3.0,4.0,"Chocolate, milk, bright",1.0,4.0,2.0,"Iron, lemon",Coffee C,Coffee D,Coffee C,20 a 40,"['It tastes good', ' I need the ritual']",Yes,No,8 a 10,8 a 10,Yes,Male,White/Caucasian
769,25 a 34,2,['At home'],['Pour over'],Pourover,['No - just black'],,Full Bodied,Somewhat strong,Medium,Full caffeine,6.0,2.0,3.0,2.0,,4.0,1.0,4.0,,3.0,2.0,4.0,,1.0,4.0,1.0,,Coffee C,Coffee A,Coffee C,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,No,4 a 6,6 a 8,Yes,Male,White/Caucasian
770,25 a 34,1,['At home'],['Pour over'],Pourover,['No - just black'],,Floral,Somewhat strong,Light,Full caffeine,7.0,4.0,3.0,1.0,"Peanuts, ravioli water",2.0,1.0,2.0,Bakers chocolate,3.0,4.0,3.0,Plum,1.0,2.0,4.0,Watermelon,Coffee C,Coffee D,Coffee D,40 a 60,['It tastes good'],Yes,Yes,10 a 15,More than 20,Yes,Male,White/Caucasian
771,25 a 34,1,"['At home', ' At a cafe']","['Pour over', ' French press', ' Other']",Other,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,7.0,2.0,4.0,4.0,,3.0,2.0,3.0,"Balanced, low toast, light chocolate",4.0,2.0,2.0,,1.0,5.0,5.0,"Bright berry, dried grains",Coffee A,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the ritual']",Yes,Yes,6 a 8,6 a 8,Yes,Male,White/Caucasian
772,18 a 24,3,"['At a cafe', ' At home', ' At the office']",['Other'],Cortado,['No - just black'],,Juicy,Somewhat strong,Medium,Full caffeine,6.0,2.0,3.0,3.0,"Bitter aftertaste, smooth juice",3.0,4.0,2.0,"Dark chocolate, lighter roast, bodied mouth feel, Ethiopia",4.0,4.0,4.0,"Dark, plum/fruit, thicker mouth feel",4.0,4.0,5.0,"Juicy, blackberry, Colombian/Ethiopian?",Coffee C,Coffee D,Coffee D,40 a 60,"['I need the ritual', ' I need the caffeine', ' It tastes good']",Yes,Yes,8 a 10,8 a 10,Yes,Male,White/Caucasian
773,25 a 34,2,"['At home', ' On the go', ' At a cafe']","['Pour over', ' Espresso']",Cortado,['No - just black'],,Chocolatey,Somewhat strong,Light,Full caffeine,7.0,4.0,3.0,4.0,,5.0,3.0,2.0,,4.0,1.0,3.0,light and tea like,2.0,4.0,5.0,,Coffee A,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the caffeine']",Yes,Yes,6 a 8,8 a 10,Yes,Non-binary,White/Caucasian
774,35 a 44,3,['At home'],"['Espresso', ' Pour over']",Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Fruity,Very strong,Light,Full caffeine,7.0,1.0,2.0,2.0,"Blackberry, very familiar - used to live by klatch in Los Angeles - somewhat biased against them",3.0,1.0,3.0,,2.0,3.0,3.0,,2.0,3.0,4.0,I like this one,Coffee B,Coffee D,Coffee D,60 a 80,"['It tastes good', ' I need the ritual']",Yes,Yes,8 a 10,More than 20,Yes,Male,White/Caucasian
775,25 a 34,2,['At home'],"['Pour over', ' Espresso']",Latte,['No - just black'],,Bold,Very strong,Dark,Full caffeine,6.0,1.0,3.0,5.0,"Light, Fruity, Caramel",3.0,1.0,5.0,"Heavy, Chocolate, Wood, Smoke",2.0,2.0,2.0,"Medium, Nutty, Muddy",2.0,4.0,4.0,"Fruity, Heavy, Cherry",Coffee B,Coffee A,Coffee B,Less then 20,"['It tastes good', ' I need the caffeine', ' I need the ritual', ' It makes me go to the bathroom']",Yes,Yes,8 a 10,10 a 15,No,Male,White/Caucasian
776,25 a 34,1,['At home'],"['Pour over', ' Espresso']",Latte,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,9.0,1.0,3.0,4.0,,5.0,1.0,2.0,,3.0,3.0,3.0,,2.0,5.0,5.0,,Coffee A,Coffee D,Coffee D,80 a 100,"['It tastes good', ' I need the caffeine', ' I need the ritual', ' It makes me go to the bathroom']",Yes,Yes,More than 20,More than 20,Yes,Male,White/Caucasian
777,25 a 34,4,['At home'],"['Coffee brewing machine (e.g. Mr. Coffee)', ' Pour over', ' French press']",Regular drip coffee,['Sugar or sweetener'],,Chocolatey,Somewhat strong,Dark,Full caffeine,7.0,4.0,4.0,2.0,,3.0,3.0,3.0,,2.0,2.0,2.0,,2.0,4.0,4.0,,Coffee B,Coffee D,Coffee D,60 a 80,"['It tastes good', ' It makes me go to the bathroom', ' I need the ritual', ' I need the caffeine']",Yes,Yes,4 a 6,4 a 6,Yes,Male,White/Caucasian
778,25 a 34,1,"['At home', ' At a cafe']",['Other'],Americano,['No - just black'],,Chocolatey,Medium,Medium,Full caffeine,3.0,1.0,5.0,2.0,,4.0,1.0,3.0,,2.0,2.0,4.0,,2.0,5.0,3.0,,Coffee C,Coffee D,Coffee C,40 a 60,['It tastes good'],Yes,Yes,6 a 8,6 a 8,Yes,Male,White/Caucasian
779,25 a 34,3,"['At home', ' At a cafe']","['Pour over', ' Espresso']",Cortado,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Floral,Medium,Light,Full caffeine,8.0,1.0,3.0,3.0,"See’s coffee caramel lollipop, vanillin",4.0,1.0,2.0,"Toasted grains, chocolate",2.0,4.0,3.0,,1.0,3.0,5.0,"Blueberry pie
Fermented",Coffee A,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,10 a 15,More than 20,No,Male,Asian/Pacific Islander
780,25 a 34,3,"['At home', ' At the office', ' At a cafe']","['Pour over', ' Espresso']",Pourover,['No - just black'],,Bright,Somewhat strong,Light,Full caffeine,6.0,3.0,4.0,4.0,"Stone fruits, blood orange, ""brunt"" mouthfeel?",3.0,1.0,2.0,"Dark spices / baking spices, hollow mouthfeel",4.0,1.0,2.0,"Brighter chocolate, brown sugar, full mouthfeel",2.0,5.0,5.0,"Raspberry, lemon, bright/smooth mouthfeel",Coffee A,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the ritual']",Yes,Yes,10 a 15,8 a 10,Yes,Male,Hispanic/Latino
781,25 a 34,1,['At home'],"['Pour over', ' Other', ' French press']",Pourover,['No - just black'],,Floral,Somewhat strong,Light,Full caffeine,6.0,1.0,4.0,5.0,Lemongrass,2.0,1.0,1.0,Round.,3.0,3.0,3.0,Toasted barley,1.0,5.0,5.0,"Grapefruit, blueberry, lacto-ferment",Coffee A,Coffee A,Coffee A,40 a 60,['It tastes good'],Yes,Yes,15 a 20,More than 20,Yes,Male,White/Caucasian
782,25 a 34,1,"['At home', ' At a cafe']","['Pour over', ' Espresso', ' Cold brew']",Latte,"['Milk', ' dairy alternative', ' or coffee creamer', ' No - just black']","['Oat milk', ' Whole milk']",Chocolatey,Medium,Medium,Full caffeine,7.0,2.0,3.0,2.0,"Berry, honey",3.0,1.0,5.0,"Stone fruit, cocoa",4.0,2.0,3.0,"Barley, smoke, grain",3.0,5.0,1.0,"Sadness, pineapple, citrus",Coffee B,Coffee A,Coffee B,40 a 60,"['It tastes good', ' I need the ritual', ' Other']",Yes,Yes,8 a 10,More than 20,Yes,Female,White/Caucasian
783,25 a 34,3,['At home'],['Espresso'],Espresso,['No - just black'],,Fruity,Medium,Light,Full caffeine,8.0,3.0,4.0,3.0,,4.0,2.0,2.0,,5.0,1.0,1.0,,1.0,4.0,5.0,,Coffee A,Coffee D,Coffee D,40 a 60,['It tastes good'],Yes,Yes,6 a 8,8 a 10,Yes,Male,White/Caucasian
784,25 a 34,2,"['At home', ' At a cafe']","['Pour over', ' Espresso', ' Other']",Latte,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']",['Oat milk'],Fruity,Somewhat strong,Medium,Full caffeine,6.0,2.0,3.0,5.0,Vanilla and Raspberry,1.0,2.0,2.0,Thin mouthfeel. Caramel,3.0,1.0,2.0,"Thin mouthfeel. Woody, tea-like",2.0,4.0,5.0,"Blueberries, cherries, chocolate",Coffee A,Coffee A,Coffee A,60 a 80,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,10 a 15,10 a 15,Yes,Female,White/Caucasian
785,25 a 34,1,"['At the office', ' At home', ' On the go', ' At a cafe']","['Pour over', ' Espresso']",Pourover,['No - just black'],,Caramalized,Somewhat strong,Light,Half caff,6.0,3.0,5.0,5.0,"Rich, chocolatey, tart, aromatic",4.0,2.0,3.0,Chocolatey,2.0,3.0,4.0,,1.0,3.0,3.0,,Coffee A,Coffee A,Coffee A,,"['It tastes good', ' I need the caffeine', ' I need the ritual', ' It makes me go to the bathroom']",Yes,Yes,15 a 20,15 a 20,Yes,Male,Asian/Pacific Islander
786,25 a 34,2,"['At home', ' At the office']","['Espresso', ' Instant coffee', ' Bean-to-cup machine']",Espresso,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']",['Whole milk'],Chocolatey,Medium,Medium,Full caffeine,8.0,2.0,3.0,5.0,"Sweet, vanilla, caramel, malty",2.0,2.0,4.0,"Woody, smoky",4.0,3.0,3.0,"Honey, muddled",3.0,5.0,2.0,"Fermented, whiskey, raspberry",Coffee A,Coffee A,Coffee A,,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,15 a 20,More than 20,No,,Other (please specify)
787,18 a 24,More than 4,"['At home', ' At a cafe']","['Pour over', ' Espresso']",Espresso,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Fruity,Very strong,Nordic,Full caffeine,7.0,1.0,5.0,5.0,"Crisp apple, fruit juice",4.0,1.0,1.0,"Dark, smoked",1.0,2.0,3.0,"Earthy, low acid",1.0,4.0,5.0,"WOW, ripe fruit, funky",Coffee A,Coffee D,Coffee D,80 a 100,"['It tastes good', ' I need the caffeine', ' I need the ritual', ' It makes me go to the bathroom']",Yes,Yes,More than 20,More than 20,Yes,Male,White/Caucasian
788,45 a 54,1,['At home'],['Espresso'],Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Full Bodied,Medium,Medium,Full caffeine,3.0,2.0,5.0,1.0,Sour!,3.0,2.0,4.0,"Mellow, good throughout all temps",4.0,3.0,4.0,"Mellowed as it cooled, good daily driver",3.0,3.0,3.0,"Fruity, blueberries!",Coffee B,Coffee D,Coffee B,40 a 60,['I need the ritual'],Yes,No,6 a 8,8 a 10,Yes,Male,White/Caucasian
789,35 a 44,1,['At home'],['Other'],Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']","['Almond milk', ' Oat milk', ' Flavored coffee creamer']",Chocolatey,Somewhat strong,Dark,Full caffeine,7.0,3.0,4.0,2.0,"Fruity, berries",4.0,2.0,4.0,Chocolate,3.0,3.0,3.0,Balanced,2.0,5.0,3.0,"Peppers, chili, juicy fruit",Coffee B,Coffee D,Coffee B,20 a 40,['It tastes good'],Yes,Yes,8 a 10,8 a 10,No,Male,White/Caucasian
790,25 a 34,Less than 1,['None of these'],,Latte,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']","['Whole milk', ' Oat milk']",Fruity,Weak,Light,,1.0,4.0,5.0,1.0,Coffee 🤷🏻‍♀️,3.0,2.0,3.0,Toasty,2.0,3.0,4.0,"Herby, fruity (peaches? Gooseberry?)",1.0,2.0,5.0,"Fruity (blackberries, raspberries)",Coffee C,Coffee D,Coffee D,Less then 20,"['It makes me go to the bathroom', ' I need the caffeine']",No,No,6 a 8,4 a 6,No,Female,Other (please specify)
791,25 a 34,2,['At home'],"['Espresso', ' Pour over']",Cortado,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Juicy,Somewhat strong,Light,Full caffeine,8.0,1.0,4.0,5.0,"Peach, apple",3.0,2.0,3.0,"Malty, biscuit",2.0,2.0,3.0,"Gummy bear, wood",1.0,5.0,5.0,"Funky, juicy",Coffee A,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the caffeine']",Yes,Yes,More than 20,More than 20,Yes,Male,Asian/Pacific Islander
792,25 a 34,2,['At home'],['Pour over'],Regular drip coffee,['No - just black'],,Full Bodied,Somewhat strong,Dark,Full caffeine,7.0,1.0,2.0,3.0,Butter,3.0,2.0,4.0,Chocolate,4.0,1.0,5.0,"Round, bold, currant",3.0,3.0,5.0,"Banana, toffee",Coffee C,Coffee D,Coffee D,20 a 40,"['It tastes good', ' I need the ritual']",Yes,Yes,10 a 15,10 a 15,Yes,Female,White/Caucasian
793,18 a 24,1,"['At home', ' At the office']",['Espresso'],Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Fruity,Somewhat strong,Medium,Full caffeine,2.0,3.0,3.0,4.0,,2.0,4.0,2.0,,4.0,3.0,2.0,,2.0,4.0,4.0,crusty dark soy sauce,Coffee A,Coffee A,Coffee D,,"['I need the caffeine', ' It makes me go to the bathroom']",Yes,No,8 a 10,8 a 10,No,Female,Asian/Pacific Islander
794,25 a 34,1,"['At home', ' At the office', ' At a cafe']","['Pour over', ' Espresso', ' Cold brew']",Espresso,['No - just black'],,Fruity,Somewhat light,Light,Full caffeine,10.0,1.0,4.0,4.0,"Tea-like, pear, floral",3.0,3.0,3.0,"Toffee, red delicious, balanced",5.0,1.0,1.0,"Dark chocolate, toasted almond",1.0,5.0,5.0,"Raspberry, bright",Coffee A,Coffee D,Coffee D,60 a 80,"['It tastes good', ' I need the ritual']",Yes,Yes,More than 20,More than 20,Yes,Male,Asian/Pacific Islander
795,18 a 24,2,['At home'],"['Pour over', ' Espresso']",Pourover,"['Milk', ' dairy alternative', ' or coffee creamer', ' No - just black']",['Whole milk'],Caramalized,Medium,Light,Full caffeine,8.0,2.0,4.0,5.0,"Caramel, Orange",5.0,2.0,2.0,"Chocolate, Milky",4.0,3.0,2.0,"Muddy, Tea",3.0,5.0,4.0,Cherry,Coffee A,Coffee A,Coffee A,20 a 40,"['It tastes good', ' I need the ritual', ' I need the caffeine']",Yes,Yes,8 a 10,15 a 20,No,Male,White/Caucasian
796,25 a 34,1,"['At home', ' At a cafe']","['Other', ' Cold brew']",Regular drip coffee,['No - just black'],,Fruity,Very strong,,Full caffeine,6.0,2.0,4.0,5.0,Fruity,4.0,2.0,3.0,,2.0,4.0,3.0,Nutty,,,,,,,,,,,,,,,,
797,35 a 44,2,['At home'],['Pour over'],Pourover,['No - just black'],,Bold,Somewhat strong,Medium,Full caffeine,6.0,3.0,4.0,5.0,"Caramel, nutty, lemon; light body",2.0,2.0,4.0,"Bread, mellow, smoky, earthy",4.0,3.0,5.0,"Earthy, dark chocolate, mushrooms; heavy body",3.0,4.0,3.0,"Berries, sweet, tart",Coffee A,Coffee A,Coffee A,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,No,8 a 10,8 a 10,No,Male,Asian/Pacific Islander
798,25 a 34,2,"['At home', ' At a cafe', ' At the office']","['Pour over', ' Espresso']",Pourover,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Sweet,Somewhat strong,Medium,Full caffeine,6.0,2.0,3.0,4.0,Almond,4.0,3.0,2.0,well toasted bread,2.0,2.0,3.0,caramel,1.0,4.0,3.0,"fruit, berried, flowers",Coffee A,Coffee A,Coffee A,80 a 100,"['It tastes good', ' I need the caffeine']",Yes,Yes,6 a 8,8 a 10,Yes,Male,White/Caucasian
799,25 a 34,2,"['At the office', ' At home']","['Pour over', ' Espresso', ' Cold brew']",Pourover,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,7.0,2.0,4.0,4.0,,4.0,1.0,3.0,,5.0,2.0,2.0,,1.0,5.0,4.0,,Coffee A,Coffee A,Coffee A,40 a 60,"['It tastes good', ' I need the caffeine']",Yes,Yes,8 a 10,10 a 15,Yes,Male,White/Caucasian
800,>65,3,['At home'],"['Pour over', ' Pod/capsule machine (e.g. Keurig/Nespresso)', ' Cold brew']",Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']",['Half and half'],Chocolatey,Medium,Medium,Full caffeine,8.0,2.0,3.0,5.0,Fruity and sweet,3.0,3.0,4.0,Dark Chocolate & Furit,4.0,3.0,3.0,Fruit and citrus,4.0,4.0,1.0,Not happy with the after taste.,Coffee A,Coffee A,Coffee A,20 a 40,['It tastes good'],Yes,Yes,6 a 8,8 a 10,Yes,Male,White/Caucasian
801,45 a 54,2,['At home'],"['French press', ' Coffee brewing machine (e.g. Mr. Coffee)', ' Other']",Regular drip coffee,['No - just black'],,Fruity,Medium,Light,Full caffeine,6.0,2.0,4.0,3.0,red apple,1.0,3.0,4.0,Chocolate,4.0,1.0,3.0,toasted,2.0,4.0,4.0,dried fruit,Coffee B,Coffee D,Coffee B,40 a 60,"['It tastes good', ' I need the ritual', ' I need the caffeine']",Yes,Yes,6 a 8,6 a 8,Yes,Male,White/Caucasian
802,25 a 34,Less than 1,"['At home', ' At a cafe']","['Pour over', ' Other']",Cappuccino,['Sugar or sweetener'],,Bright,Somewhat strong,Medium,Full caffeine,3.0,1.0,3.0,3.0,Green tomato,2.0,2.0,1.0,"Bitter acid water, diner, boring",1.0,2.0,2.0,"Roasted malt, Guinness",2.0,3.0,4.0,"Tea-like, complex",Coffee A,Coffee D,Coffee D,Less then 20,['It tastes good'],Yes,No,10 a 15,10 a 15,Yes,Male,Other (please specify)
803,>65,1,['At home'],"['Pour over', ' Cold brew']",Latte,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Floral,Medium,Medium,Full caffeine,5.0,2.0,3.0,3.0,,2.0,2.0,3.0,,4.0,2.0,4.0,,3.0,2.0,4.0,,Coffee C,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the caffeine']",Yes,Yes,6 a 8,6 a 8,Yes,Female,White/Caucasian
804,35 a 44,2,"['At a cafe', ' At home']","['Pour over', ' Espresso', ' Instant coffee']",Pourover,['No - just black'],,Sweet,Somewhat light,Light,Decaf,8.0,3.0,4.0,4.0,"Balance, apple cider, direct acid, caramel, roast grain",4.0,3.0,2.0,"Grain, roast, burnt caramel, buttery, subtle fruit, chocolate, nutty",5.0,2.0,1.0,"Roasty, crusty toasted bread, very dark, lack of origin character, muddy",2.0,4.0,5.0,"Blueberry, lemonade, fruits and berries, sweet dark chocolate.  Has Ethiopian characteristics, but I suspect anaerobically fermented from Colombia.",Coffee A,Coffee D,Coffee D,More then 100,"['It tastes good', ' I need the ritual', ' Other']",Yes,Yes,15 a 20,More than 20,Yes,Male,White/Caucasian
805,35 a 44,2,['At the office'],,Pourover,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Nutty,Somewhat strong,Light,Full caffeine,7.0,2.0,4.0,2.0,"Bad warm 
Better hot and cold",3.0,3.0,4.0,,3.0,3.0,5.0,,3.0,3.0,2.0,,Coffee C,Coffee D,Coffee C,20 a 40,"['I need the caffeine', ' It tastes good']",Yes,Yes,4 a 6,4 a 6,No,Male,White/Caucasian
806,25 a 34,Less than 1,['At a cafe'],,Cortado,['No - just black'],,Bold,Somewhat strong,Medium,Full caffeine,4.0,3.0,2.0,5.0,,5.0,1.0,1.0,,4.0,3.0,4.0,,1.0,5.0,3.0,,Coffee A,Coffee A,Coffee A,20 a 40,['It tastes good'],Yes,No,6 a 8,10 a 15,Yes,Male,White/Caucasian
807,18 a 24,1,['At home'],"['French press', ' Other']",Espresso,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Full Bodied,Medium,Medium,Full caffeine,5.0,2.0,4.0,2.0,Fruity,2.0,3.0,4.0,Dark Chocolate,3.0,3.0,3.0,"Nutty, Chocolate",1.0,5.0,1.0,Very fruity,Coffee B,Coffee A,Coffee B,20 a 40,"['It tastes good', ' I need the ritual', ' It makes me go to the bathroom', ' I need the caffeine']",Yes,Yes,6 a 8,8 a 10,No,Male,White/Caucasian
808,25 a 34,1,['At the office'],,Latte,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Chocolatey,Somewhat light,Medium,Full caffeine,2.0,1.0,5.0,3.0,Tomato Juice,4.0,3.0,3.0,"Earthy, smokey",3.0,1.0,2.0,"Musty, seaweed, fish, stale bread",2.0,4.0,4.0,"Blackberry, Almond",Coffee B,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the caffeine', ' It makes me go to the bathroom']",Yes,No,4 a 6,6 a 8,No,Male,White/Caucasian
809,35 a 44,2,"['At home', ' At a cafe']","['Pour over', ' French press', ' Espresso', ' Other']",Latte,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']",['Whole milk'],Fruity,Medium,Medium,Full caffeine,5.0,2.0,3.0,4.0,"Tart apple, lemon custard, bright and clear",1.0,2.0,3.0,"Cacao nibs, cascaras, dried fruit, light and tea like",2.0,2.0,4.0,"Velvet, almond, bittersweet chocolate",1.0,1.0,4.0,"Green apple, tart berries, rich, full bodied, sweet",Coffee A,Coffee D,Coffee D,40 a 60,['It tastes good'],Yes,Yes,15 a 20,15 a 20,Yes,Male,White/Caucasian
810,18 a 24,3,"['At home', ' At a cafe']","['Pour over', ' Espresso']",Pourover,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,7.0,2.0,4.0,4.0,,4.0,2.0,2.0,,2.0,3.0,3.0,,1.0,3.0,5.0,,Coffee A,Coffee D,Coffee D,60 a 80,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,10 a 15,More than 20,Yes,Female,Asian/Pacific Islander
811,55 a 64,2,['At home'],"['Coffee brewing machine (e.g. Mr. Coffee)', ' Espresso', ' Pour over', ' French press']",Espresso,['Sugar or sweetener'],,Full Bodied,Somewhat strong,Dark,Full caffeine,6.0,3.0,4.0,4.0,very drinkable. notes of caramel,4.0,3.0,3.0,very pleaseant - nutty,4.0,1.0,4.0,Better when cooler - chocolate?,3.0,4.0,2.0,"very bright. notes of blueberry. Not something I would drink every day, but otherwise OK.",Coffee C,Coffee A,Coffee D,60 a 80,['It tastes good'],Yes,Yes,6 a 8,6 a 8,No,Male,White/Caucasian
812,25 a 34,1,"['At home', ' At a cafe']",['Pour over'],Cappuccino,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,7.0,2.0,2.0,1.0,"No body, tealike, low bitterness, juicy, sweet",4.0,2.0,3.0,"Classic, initial bitterness, low acid",3.0,4.0,4.0,"Thick, sweet, still classic, balanced acidity",2.0,4.0,5.0,"Funk, ferment, honey, sour apple",Coffee C,Coffee D,Coffee A,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual', ' It makes me go to the bathroom']",Yes,Yes,10 a 15,More than 20,Yes,Male,White/Caucasian
813,35 a 44,2,['At home'],"['Pour over', ' Espresso']",Pourover,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,8.0,2.0,4.0,4.0,"Berryish, slightly sweet.",3.0,3.0,3.0,Molasses/brown sugar,4.0,2.0,1.0,Roasty,1.0,5.0,5.0,Apple or stone fruits,Coffee A,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the ritual']",Yes,Yes,8 a 10,8 a 10,Yes,Prefer not to say,White/Caucasian
814,25 a 34,4,['At the office'],,Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer']","['Whole milk', ' Half and half']",Caramalized,Medium,Dark,Full caffeine,2.0,2.0,3.0,5.0,Could imagine drinking this everyday and never getting tired of it,4.0,4.0,4.0,Reminds me of stopping by a diner on a long road trip.,2.0,4.0,3.0,,2.0,4.0,1.0,Too complex for me,Coffee A,Coffee A,Coffee A,80 a 100,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,No,10 a 15,8 a 10,Yes,Prefer not to say,Asian/Pacific Islander
815,35 a 44,2,"['At the office', ' At home']","['Pour over', ' Pod/capsule machine (e.g. Keurig/Nespresso)']",Americano,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']","['Oat milk', ' Almond milk']",Nutty,Somewhat strong,Medium,Full caffeine,6.0,1.0,4.0,4.0,"Caramel, cherry, orange",5.0,2.0,2.0,"Grass, wood",3.0,2.0,2.0,"Chocolate, smoky",2.0,3.0,5.0,"Sweet! Floral, berry, blueberry",Coffee A,Coffee D,Coffee D,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,6 a 8,6 a 8,Yes,Female,White/Caucasian
816,35 a 44,1,"['At home', ' At the office']",['Pour over'],Pourover,['No - just black'],,Fruity,Medium,Light,Full caffeine,6.0,2.0,4.0,4.0,Apple,3.0,2.0,3.0,Cocoa,4.0,1.0,2.0,Brown Sugar,2.0,5.0,5.0,Lemon Lime,Coffee A,Coffee D,Coffee D,,"['It tastes good', ' I need the caffeine']",Yes,Yes,6 a 8,10 a 15,No,Male,White/Caucasian
